experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,turn_index,question_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_to_cloud_bytes,network_cloud_to_edge_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,cloud_llm_retry_wait_ms,error
graphiti_conv0_unconstrained,2026-05-16T00:52:16.990098+00:00,graphiti_conv0_unconstrained_bb6c7524,48729fa6f08f5fbbc858efd29af7b1ff,,warmup,graphiti,unconstrained,0,,,,,,,,"{""status"": ""success"", ""backend"": ""graphiti"", ""warmed"": true}",,,,,,0.0,0.0,0.0,4430.236277003132,4226.181052006723,204.05522499640938,57028000,2363677000,212992,29196288,0.0,7573504,853,584,0,0.0,0,0.0,0,0.0,,,,
graphiti_conv0_unconstrained,2026-05-16T00:52:28.497557+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,0,,,,,,1,Caroline: Hey Mel! Good to see you! How have you been?,,1,,,,0.0,0.0,0.0,11506.728366999596,11046.935479993408,459.7928870061878,117512000,3788701000,0.0,53358592,0.0,4325376,1168,840,0,0.0,4561,0.00073718,4561,0.00073718,,,,
graphiti_conv0_unconstrained,2026-05-16T00:52:38.909035+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,1,,,,,,2,Melanie: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new?,,1,,,,0.0,0.0,0.0,10410.86779699981,10206.23087000422,204.63692699559033,116172000,2941476000,0.0,25616384,0.0,32768.0,1221,893,0,0.0,4959,0.0007976,4959,0.0007976,,,,
graphiti_conv0_unconstrained,2026-05-16T00:52:48.136430+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,2,,,,,,3,Caroline: I went to a LGBTQ support group yesterday and it was so powerful.,,1,,,,0.0,0.0,0.0,9226.778297001147,9022.377734996553,204.40056200459367,108653000,1663027000,118784,11366400,0.0,1777664,1189,860,0,0.0,4886,0.0007823,4886,0.0007823,,,,
graphiti_conv0_unconstrained,2026-05-16T00:53:03.485931+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,3,,,,,,4,"Melanie: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?",,1,,,,0.0,0.0,0.0,15348.871873997268,15144.135716000164,204.73615799710387,167552000,1873640000,12288,37105664,0.0,4427776.0,1221,882,0,0.0,4997,0.00079838,4997,0.00079838,,,,
graphiti_conv0_unconstrained,2026-05-16T00:53:08.337031+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,4,,,,,,5,Caroline: The transgender stories were so inspiring! I was so happy and thankful for all the support.,,1,,,,0.0,0.0,0.0,4850.501658998837,4647.764964996895,202.73669400194194,57512000,641168000,0.0,0.0,0.0,1228800,1311,886,0,0.0,4253,0.00068648,4253,0.00068648,,,,
graphiti_conv0_unconstrained,2026-05-16T00:53:15.216254+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,5,,,,,,6,"Melanie: Wow, love that painting! So cool you found such a helpful group. What's it done for you?",,1,,,,0.0,0.0,0.0,6878.614634995756,6674.230137999984,204.38449699577177,63920000,571198000,0.0,0.0,0.0,925696.0,1211,871,0,0.0,4338,0.00069338,4338,0.00069338,,,,
graphiti_conv0_unconstrained,2026-05-16T00:53:21.070909+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,6,,,,,,7,Caroline: The support group has made me feel accepted and given me courage to embrace myself.,,1,,,,0.0,0.0,0.0,5853.985793997708,5649.568921995524,204.4168720021844,96549000,307511000,0.0,0.0,0.0,954368.0,1207,877,0,0.0,4427,0.00070718,4427,0.00070718,,,,
graphiti_conv0_unconstrained,2026-05-16T00:53:26.219233+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,7,,,,,,8,Melanie: That's really cool. You've got guts. What now?,,1,,,,0.0,0.0,0.0,5147.673464001855,4943.463907999103,204.20955600275192,58415000,297841000,0.0,0.0,0.0,917504.0,1169,840,0,0.0,4497,0.00071408,4497,0.00071408,,,,
graphiti_conv0_unconstrained,2026-05-16T00:53:31.984761+00:00,graphiti_conv0_unconstrained_bb6c7524,60878c79ac5dee3bd7ca9d4c1c86bed1,,load,graphiti,unconstrained,0,8,,,,,,9,"Caroline: Gonna continue my edu and check out career options, which is pretty exciting!",,1,,,,0.0,0.0,0.0,5764.948759002436,5560.997904001852,203.95085500058485,60080000,297262000,0.0,0.0,0.0,909312.0,1201,872,0,0.0,4593,0.00073208,4593,0.00073208,,,,
