experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_bytes,network_cloud_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,error
mem0_conv0_constrained,2026-05-03T14:22:25.815726+00:00,mem0_conv0_constrained_5935f1be,6f7e87cac66279796b7352199fa18db0,,warmup,mem0,constrained,0,,,,,,"{""status"": ""success"", ""backend"": ""mem0"", ""warmed"": true}",,,,,,100.0,20.0,512.0,590.3398170003129,384.0758590004043,206.2639579999086,4322000,46886000,0.0,0.0,0.0,0.0,1287,68669,0,0.0,0,0.0,0,0.0,,,
mem0_conv0_constrained,2026-05-03T14:22:27.962202+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,1,[2023-05-08T13:56:00+00:00] Caroline: Hey Mel! Good to see you! How have you been?,,1,,,,100.0,20.0,512.0,2145.6773089994385,1940.5960709991632,205.08123800027533,8216000,117286000,0.0,0.0,0.0,40960,1985,242691,0,0.0,7742,0.00115887,7742,0.00115887,,,
mem0_conv0_constrained,2026-05-03T14:22:29.540543+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,2,[2023-05-08T13:56:00+00:00] Melanie: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you,,1,,,,100.0,20.0,512.0,1577.73499599989,1167.586618000314,410.14837799957604,43591000,114735000,0.0,77824,0.0,188416.0,2142,172589,0,0.0,7803,0.0005998,7803,0.0005998,,,
mem0_conv0_constrained,2026-05-03T14:22:31.944480+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,3,[2023-05-08T13:56:00+00:00] Caroline: I went to a LGBTQ support group yesterday and it was so powerful.,,1,,,,100.0,20.0,512.0,2403.315219000433,2198.369525000089,204.9456940003438,11015000,141616000,0.0,0.0,0.0,331776,7525,228399,0,0.0,7888,0.00062764,7888,0.00062764,,,
mem0_conv0_constrained,2026-05-03T14:22:33.212880+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,4,"[2023-05-08T13:56:00+00:00] Melanie: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any ins",,1,,,,100.0,20.0,512.0,1267.762016999768,1061.8536089996269,205.9084080001412,6518000,114678000,0.0,0.0,0.0,81920.0,2142,524513,0,0.0,7914,0.0006555,7914,0.0006555,,,
mem0_conv0_constrained,2026-05-03T14:22:37.680578+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,5,[2023-05-08T13:56:00+00:00] Caroline: The transgender stories were so inspiring! I was so happy and thankful for all the,,1,,,,100.0,20.0,512.0,4467.071736000435,4260.987089000082,206.08464700035256,50309000,195750000,0.0,0.0,0.0,462848,5395,445691,0,0.0,8163,0.00073582,8163,0.00073582,,,
mem0_conv0_constrained,2026-05-03T14:22:38.787336+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,6,"[2023-05-08T13:56:00+00:00] Melanie: Wow, love that painting! So cool you found such a helpful group. What's it done for",,1,,,,100.0,20.0,512.0,1106.1452419999114,900.7771739998134,205.368068000098,5875000,99546000,0.0,0.0,0.0,122880.0,2132,168924,0,0.0,8094,0.0006825,8094,0.0006825,,,
mem0_conv0_constrained,2026-05-03T14:22:41.559151+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,7,[2023-05-08T13:56:00+00:00] Caroline: The support group has made me feel accepted and given me courage to embrace myself,,1,,,,100.0,20.0,512.0,2771.182082999985,2566.3560149996556,204.82606800032954,48916000,150609000,0.0,0.0,0.0,380928,5291,229759,0,0.0,8221,0.00067182,8221,0.00067182,,,
mem0_conv0_constrained,2026-05-03T14:22:44.600921+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,8,[2023-05-08T13:56:00+00:00] Melanie: That's really cool. You've got guts. What now?,,1,,,,100.0,20.0,512.0,3041.1262060006266,2580.671952000557,460.45425400006934,46016000,141683000,0.0,0.0,0.0,212992.0,2054,637085,0,0.0,8194,0.00069867,8194,0.00069867,,,
mem0_conv0_constrained,2026-05-03T14:22:46.677578+00:00,mem0_conv0_constrained_5935f1be,722b1d1eeb56f9284fa42cc98dbf8680,,load,mem0,constrained,0,,,,,9,"[2023-05-08T13:56:00+00:00] Caroline: Gonna continue my edu and check out career options, which is pretty exciting!",,1,,,,100.0,20.0,512.0,2076.0288199999195,1869.6461239997006,206.38269600021886,9980000,129084000,0.0,0.0,0.0,77824,5346,230744,0,0.0,8276,0.00071917,8276,0.00071917,,,
