experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,turn_index,question_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_to_cloud_bytes,network_cloud_to_edge_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,cloud_llm_retry_wait_ms,error
cognee_conv0_constrained,2026-05-16T01:54:17.798762+00:00,cognee_conv0_constrained_702cc703,33bba840932e8b663cfedf481f10bd0e,,warmup,cognee,constrained,0,,,,,,,,"{""status"": ""success"", ""backend"": ""cognee"", ""warmed"": true, ""dataset"": ""locomo_0_0507c003""}",,,,,,150.0,30.0,512.0,1635.8878500032006,1431.765756002278,204.12209400092252,7551000,419982000,0.0,27160576,0.0,2789376.0,785,546,0,0.0,0,0.0,0,0.0,,,,
cognee_conv0_constrained,2026-05-16T01:54:22.582551+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,0,,,,,,1,[2023-05-08T13:56:00+00:00] Caroline: Hey Mel! Good to see you! How have you been?,,1,,,,150.0,30.0,512.0,4783.022711999365,4580.076954000106,202.9457579992595,54884000,3278650000,0.0,6615040,0.0,4538368.0,1226,925,0,0.0,1902,0.00036784,1902,0.00036784,,,,
cognee_conv0_constrained,2026-05-16T01:54:26.666209+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,1,,,,,,2,[2023-05-08T13:56:00+00:00] Melanie: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you,,1,,,,150.0,30.0,512.0,4083.0969469971023,3878.9695640007267,204.12738299637567,52628000,1332380000,0.0,0.0,0.0,4104192.0,1213,899,0,0.0,1172,0.00023783,1172,0.00023783,,,,
cognee_conv0_constrained,2026-05-16T01:54:31.389513+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,2,,,,,,3,[2023-05-08T13:56:00+00:00] Caroline: I went to a LGBTQ support group yesterday and it was so powerful.,,1,,,,150.0,30.0,512.0,4722.754298003565,3147.821095000836,1574.933203002729,58358000,1089089000,0.0,0.0,0.0,3661824.0,1247,947,0,0.0,1125,0.00022939,1125,0.00022939,,,,
cognee_conv0_constrained,2026-05-16T01:54:34.968951+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,3,,,,,,4,"[2023-05-08T13:56:00+00:00] Melanie: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any ins",,1,,,,150.0,30.0,512.0,3578.903163994255,3225.270932998683,353.6322309955722,51254000,1309079000,0.0,0.0,0.0,1511424.0,1279,963,0,0.0,1150,0.00024157,1150,0.00024157,,,,
cognee_conv0_constrained,2026-05-16T01:54:37.811637+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,4,,,,,,5,[2023-05-08T13:56:00+00:00] Caroline: The transgender stories were so inspiring! I was so happy and thankful for all the,,1,,,,150.0,30.0,512.0,2842.060754999693,2637.7012099983403,204.35954500135267,13621000,929342000,0.0,0.0,0.0,2433024.0,1369,964,0,0.0,1041,0.00019569,1041,0.00019569,,,,
cognee_conv0_constrained,2026-05-16T01:54:41.499226+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,5,,,,,,6,"[2023-05-08T13:56:00+00:00] Melanie: Wow, love that painting! So cool you found such a helpful group. What's it done for",,1,,,,150.0,30.0,512.0,3686.877493004431,3128.301732002001,558.5757610024302,51797000,1174904000,0.0,0.0,0.0,3854336.0,1269,965,0,0.0,1118,0.00022295,1118,0.00022295,,,,
cognee_conv0_constrained,2026-05-16T01:54:46.496045+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,6,,,,,,7,[2023-05-08T13:56:00+00:00] Caroline: The support group has made me feel accepted and given me courage to embrace myself,,1,,,,150.0,30.0,512.0,4996.279286999197,4030.8753900026204,965.4038969965768,55598000,1360851000,0.0,0.0,0.0,2871296.0,1199,899,0,0.0,1258,0.00028187,1258,0.00028187,,,,
cognee_conv0_constrained,2026-05-16T01:54:49.111289+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,7,,,,,,8,[2023-05-08T13:56:00+00:00] Melanie: That's really cool. You've got guts. What now?,,1,,,,150.0,30.0,512.0,2614.603953996266,2410.466440000164,204.13751399610192,11048000,907336000,0.0,0.0,0.0,1241088.0,1161,859,0,0.0,951,0.00016539,951,0.00016539,,,,
cognee_conv0_constrained,2026-05-16T01:54:53.290632+00:00,cognee_conv0_constrained_702cc703,f6cc56e8d82a8a9cac0fbf44e8270da5,,load,cognee,constrained,0,8,,,,,,9,"[2023-05-08T13:56:00+00:00] Caroline: Gonna continue my edu and check out career options, which is pretty exciting!",,1,,,,150.0,30.0,512.0,4178.79828200239,3974.875639003585,203.9226429988048,52411000,1274284000,0.0,0.0,0.0,2248704.0,1259,960,0,0.0,1207,0.00025707,1207,0.00025707,,,,
