experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,turn_index,question_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_to_cloud_bytes,network_cloud_to_edge_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,error
graphiti_conv0_unconstrained,2026-05-13T06:12:39.094522+00:00,graphiti_conv0_unconstrained_f5d135cd,ef212434e531549dddb44755bd03e929,,warmup,graphiti,unconstrained,0,,,,,,,,"{""status"": ""success"", ""backend"": ""graphiti"", ""warmed"": true}",,,,,,0.0,0.0,0.0,4518.089113000315,4314.720131995273,203.36898100504186,52181000,2328730000,114688,32280576,50352128.0,147456,923,584,0,0.0,0,0.0,0,0.0,,,
graphiti_conv0_unconstrained,2026-05-13T06:12:53.211746+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,0,,,,,,1,Caroline: Hey Mel! Good to see you! How have you been?,,1,,,,0.0,0.0,0.0,14116.38940499688,13912.79954399215,203.58986100472976,141995000,3730515000,12288,63262720,50331648.0,3809280.0,1234,906,0,0.0,4561,0.00073718,4561,0.00073718,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:01.446117+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,1,,,,,,2,Melanie: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new?,,1,,,,0.0,0.0,0.0,8233.77000799519,8030.548645998351,203.22136199683882,94850000,3400196000,262144,30429184,568737792.0,987136.0,1287,946,0,0.0,4959,0.0007976,4959,0.0007976,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:12.559088+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,2,,,,,,3,Caroline: I went to a LGBTQ support group yesterday and it was so powerful.,,1,,,,0.0,0.0,0.0,11112.371961993631,10907.982178992825,204.38978300080635,101765000,1975714000,4096,24403968,841072640.0,3018752.0,1255,927,0,0.0,4886,0.0007823,4886,0.0007823,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:22.293608+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,3,,,,,,4,"Melanie: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?",,1,,,,0.0,0.0,0.0,9733.929891997832,9429.257967000012,304.6719249978196,96319000,871590000,12288,1986560,0.0,4476928.0,1357,947,0,0.0,4997,0.00079838,4997,0.00079838,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:26.708222+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,4,,,,,,5,Caroline: The transgender stories were so inspiring! I was so happy and thankful for all the support.,,1,,,,0.0,0.0,0.0,4414.043255004799,4211.667790994397,202.37546401040163,49968000,611593000,0.0,10223616,0.0,20480.0,1377,953,0,0.0,4248,0.00068348,4248,0.00068348,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:31.503851+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,5,,,,,,6,"Melanie: Wow, love that painting! So cool you found such a helpful group. What's it done for you?",,1,,,,0.0,0.0,0.0,4795.055038004648,4592.413044010755,202.64199399389327,49941000,269396000,0.0,524288,0.0,1011712.0,1277,948,0,0.0,4344,0.00069698,4344,0.00069698,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:36.117092+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,6,,,,,,7,Caroline: The support group has made me feel accepted and given me courage to embrace myself.,,1,,,,0.0,0.0,0.0,4612.652208001236,4408.723018001183,203.9291900000535,50864000,346188000,0.0,0.0,0.0,1019904.0,1273,945,0,0.0,4429,0.00070838,4429,0.00070838,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:40.486127+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,7,,,,,,8,Melanie: That's really cool. You've got guts. What now?,,1,,,,0.0,0.0,0.0,4368.428753004991,4013.596798002254,354.83195500273723,13415000,272406000,0.0,331776,0.0,1957888.0,1235,906,0,0.0,4502,0.00071708,4502,0.00071708,,,
graphiti_conv0_unconstrained,2026-05-13T06:13:44.556292+00:00,graphiti_conv0_unconstrained_f5d135cd,826a125e3bce9d4fd15a10f217e96f62,,load,graphiti,unconstrained,0,8,,,,,,9,"Caroline: Gonna continue my edu and check out career options, which is pretty exciting!",,1,,,,0.0,0.0,0.0,4069.5990009990055,3663.3759870019276,406.22301399707794,49412000,271680000,0.0,0.0,0.0,1007616.0,1267,938,0,0.0,4593,0.00073208,4593,0.00073208,,,
