experiment_name,timestamp,session_id,trace_id,judge_trace_id,phase,memory,mode,conversation_index,turn_index,question_index,search_calls,top_k,memories_returned,question_category,question,answer,gold_answer,seed,judge_n,judge_verdict,judge_reason,toxic_latency,toxic_jitter,toxic_bandwidth,wall_ms,compute_ms,flush_ms,cpu_edge_ns,cpu_cloud_ns,ram_edge_peak_bytes,ram_cloud_peak_bytes,disk_edge_bytes,disk_cloud_bytes,network_edge_to_cloud_bytes,network_cloud_to_edge_bytes,edge_llm_tokens,edge_llm_cost_usd,cloud_llm_tokens,cloud_llm_cost_usd,llm_tokens,llm_cost_usd,responder_context_window_tokens,responder_context_window_cost_usd,error
graphiti_conv0_constrained,2026-05-13T08:03:42.050080+00:00,graphiti_conv0_constrained_dabbe247,ac6607450435cb0692d672e3551a2d1c,,warmup,graphiti,constrained,0,,,,,,,,"{""status"": ""success"", ""backend"": ""graphiti"", ""warmed"": true}",,,,,,150.0,30.0,512.0,1725.965024001198,1522.6032119971933,203.3618120040046,41218000,64916000,0.0,0.0,0.0,0.0,853,584,0,0.0,0,0.0,0,0.0,,,
graphiti_conv0_constrained,2026-05-13T08:03:59.441734+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,0,,,,,,1,Caroline: Hey Mel! Good to see you! How have you been?,,1,,,,150.0,30.0,512.0,17390.97935501195,17187.92458801181,203.0547670001397,131312000,663375000,0.0,0.0,0.0,28672.0,1296,971,0,0.0,4568,0.00074138,4568,0.00074138,,,
graphiti_conv0_constrained,2026-05-13T08:04:13.341925+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,1,,,,,,2,Melanie: Hey Caroline! Good to see you! I'm swamped with the kids & work. What's up with you? Anything new?,,1,,,,150.0,30.0,512.0,13899.716505009565,13697.505711010308,202.21079399925657,127735000,1872303000,0.0,0.0,0.0,1376256.0,1283,959,0,0.0,4966,0.00079865,4966,0.00079865,,,
graphiti_conv0_constrained,2026-05-13T08:04:23.627223+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,2,,,,,,3,Caroline: I went to a LGBTQ support group yesterday and it was so powerful.,,1,,,,150.0,30.0,512.0,10284.73299399775,10081.882707992918,202.85028600483201,91449000,609771000,0.0,0.0,0.0,1454080.0,1251,924,0,0.0,4886,0.0007823,4886,0.0007823,,,
graphiti_conv0_constrained,2026-05-13T08:04:56.443520+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,3,,,,,,4,"Melanie: Wow, that's cool, Caroline! What happened that was so awesome? Did you hear any inspiring stories?",,1,,,,150.0,30.0,512.0,32815.81312199705,32613.629157000105,202.1839649969479,290412000,882976000,0.0,0.0,0.0,1466368.0,1415,1091,0,0.0,4997,0.00079838,4997,0.00079838,,,
graphiti_conv0_constrained,2026-05-13T08:05:10.322483+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,4,,,,,,5,Caroline: The transgender stories were so inspiring! I was so happy and thankful for all the support.,,1,,,,150.0,30.0,512.0,13878.467420989182,13574.472954991506,303.99446599767543,92963000,546283000,0.0,0.0,0.0,2867200.0,1373,952,0,0.0,6247,0.00099643,6247,0.00099643,,,
graphiti_conv0_constrained,2026-05-13T08:05:26.980980+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,5,,,,,,6,"Melanie: Wow, love that painting! So cool you found such a helpful group. What's it done for you?",,1,,,,150.0,30.0,512.0,16658.016959001543,16303.171046005446,354.84591299609747,171065000,428983000,0.0,3063808,0.0,36864.0,1339,1015,0,0.0,4343,0.00069638,4343,0.00069638,,,
graphiti_conv0_constrained,2026-05-13T08:05:37.757984+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,6,,,,,,7,Caroline: The support group has made me feel accepted and given me courage to embrace myself.,,1,,,,150.0,30.0,512.0,10776.487541006645,10574.093795003137,202.39374600350857,87805000,217968000,0.0,0.0,0.0,1105920.0,1269,944,0,0.0,4427,0.00070718,4427,0.00070718,,,
graphiti_conv0_constrained,2026-05-13T08:05:42.155796+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,7,,,,,,8,Melanie: That's really cool. You've got guts. What now?,,1,,,,150.0,30.0,512.0,4397.269527995377,4194.354833001853,202.91469499352388,44678000,199293000,0.0,0.0,0.0,1040384.0,1231,907,0,0.0,4502,0.00071708,4502,0.00071708,,,
graphiti_conv0_constrained,2026-05-13T08:05:53.303557+00:00,graphiti_conv0_constrained_dabbe247,fd4cd9a810abcf00ed1435e339ef98e6,,load,graphiti,constrained,0,8,,,,,,9,"Caroline: Gonna continue my edu and check out career options, which is pretty exciting!",,1,,,,150.0,30.0,512.0,11147.281009994913,10944.453136995435,202.82787299947813,90557000,235174000,0.0,0.0,0.0,1089536.0,1263,939,0,0.0,4593,0.00073208,4593,0.00073208,,,
